0,United States of America,9
1,other_genres,9
2,English Language,9
3,Interval_1h30-2h,7
4,year_intervals_2004-2013,5
5,Drama,5
6,Indie,4
7,Romance Film,3
8,Month_1.0,3
9,group_5,2
